name,selection_score,avg_final_coop_rate,avg_coop_rate_change,avg_score_variance,avg_strategy_dominance,avg_network_clustering,config_strategies,config_network,config_interaction,config_agents,config_rounds
GeneratedScenario_0003,0.8567419172932328,0.15,-0.7666666666666666,1259.8032607217026,92.6612781954886,0.0,"{'wolf_phc': 4, 'q_learning': 4, 'q_learning_adaptive': 5, 'hysteretic_q': 7}",scale_free,neighborhood,20,500
GeneratedScenario_0010,0.8494488888888889,0.2866666666666667,-0.68,51883532.20740741,17548.548148148147,0.0,"{'q_learning_adaptive': 1, 'tit_for_two_tats': 4, 'lra_q': 45}",scale_free,pairwise,50,500
GeneratedScenario_0015,0.8079930555555556,0.19166666666666665,-0.5583333333333333,2622.0797869514768,113.72649572649618,0.0,"{'always_defect': 7, 'wolf_phc': 7, 'lra_q': 26}",scale_free,neighborhood,40,200
GeneratedScenario_0023,0.7799722222222222,0.18333333333333335,-0.46666666666666673,1285213.9322916667,3070.1666666666665,0.0,"{'generous_tit_for_tat': 3, 'q_learning': 4, 'lra_q': 1, 'ucb1_q': 12}",scale_free,pairwise,20,200
GeneratedScenario_0000,0.7643055555555556,0.5833333333333334,-0.3833333333333333,13759.726684332467,234.40643274853892,0.0,"{'wolf_phc': 8, 'generous_tit_for_tat': 12}",scale_free,neighborhood,20,500
GeneratedScenario_0012,0.7474009228851183,0.4444444444444445,-0.35555555555555557,1210.1551718274923,94.02859879584018,0.0,"{'tit_for_tat': 3, 'random': 1, 'ucb1_q': 12, 'tit_for_two_tats': 14}",small_world,neighborhood,30,200
GeneratedScenario_0014,0.7443055555555557,0.5833333333333334,-0.3166666666666667,47046.78316326526,326.03174603174557,0.0,"{'hysteretic_q': 6, 'q_learning': 14}",small_world,pairwise,20,300
GeneratedScenario_0008,0.7322222222222222,0.6666666666666666,-0.2833333333333333,3684.0584528573,119.63040935672531,0.0,"{'wolf_phc': 5, 'q_learning': 15}",scale_free,neighborhood,20,300
GeneratedScenario_0018,0.71375,0.75,-0.2333333333333333,2574415.562395975,3768.4814814814804,0.0,"{'wolf_phc': 5, 'tit_for_tat': 6, 'lra_q': 9}",scale_free,pairwise,20,300
GeneratedScenario_0025,0.7079288888888889,0.47333333333333333,-0.19333333333333333,3985.1668805231716,157.05839002267524,0.0,"{'always_cooperate': 2, 'tit_for_two_tats': 5, 'pavlov': 12, 'random': 31}",scale_free,neighborhood,50,500
GeneratedScenario_0001,0.7025555555555556,0.7333333333333334,-0.19333333333333336,3000720.7470068038,3458.12380952381,0.0,"{'pavlov': 15, 'hysteretic_q': 35}",fully_connected,pairwise,50,200
GeneratedScenario_0019,0.6982222222222222,0.6333333333333333,0.16666666666666663,19682232.373333324,9227.066666666664,0.0,"{'suspicious_tit_for_tat': 5, 'q_learning_adaptive': 5, 'random': 20}",random,pairwise,30,500
GeneratedScenario_0002,0.6964556439728858,0.7666666666666666,-0.18888888888888888,3018.478587223283,97.93339227822018,0.0,"{'q_learning_adaptive': 1, 'q_learning': 3, 'wolf_phc': 26}",small_world,neighborhood,30,300
GeneratedScenario_0024,0.6903055555555556,0.2833333333333334,0.15000000000000002,32554.43132224369,434.5335775335781,0.0,"{'ucb1_q': 7, 'always_cooperate': 2, 'suspicious_tit_for_tat': 31}",scale_free,neighborhood,40,500
GeneratedScenario_0005,0.6900000000000001,0.5,-0.13333333333333333,15789489.70317891,9531.776500638573,0.0,"{'q_learning_adaptive': 9, 'lra_q': 1, 'pavlov': 1, 'random': 29}",scale_free,pairwise,40,500
GeneratedScenario_0007,0.6816388888888889,0.6833333333333332,-0.11666666666666665,183659.7874074072,854.5777777777772,0.0,"{'random': 5, 'q_learning': 15}",random,pairwise,20,200
GeneratedScenario_0016,0.6769375000000001,0.8250000000000001,-0.125,4176.369289443891,145.26780626780644,0.0,"{'q_learning': 6, 'always_cooperate': 2, 'hysteretic_q': 32}",small_world,neighborhood,40,500
GeneratedScenario_0006,0.6749930555555556,0.6583333333333333,-0.09166666666666667,57392542.3389757,16072.833333333334,0.0,"{'ucb1_q': 6, 'always_defect': 2, 'hysteretic_q': 8, 'q_learning': 24}",small_world,pairwise,40,300
GeneratedScenario_0004,0.6551728395061729,0.37777777777777777,-0.022222222222222254,8316398.692708333,5757.583333333333,0.0,"{'q_learning_adaptive': 12, 'always_defect': 18}",fully_connected,pairwise,30,200
GeneratedScenario_0011,0.6540555555555555,0.8666666666666667,-0.05833333333333331,15518044.59407408,7688.0444444444465,0.0,"{'hysteretic_q': 15, 'pavlov': 25}",random,pairwise,40,300
GeneratedScenario_0022,0.6465,0.9,-0.04166666666666663,455928.2595663271,1341.190476190477,0.0,"{'generous_tit_for_tat': 12, 'lra_q': 28}",fully_connected,pairwise,40,200
GeneratedScenario_0013,0.6414930555555556,0.9583333333333334,-0.041666666666666706,7032.651120784544,192.73504273504219,0.0,"{'pavlov': 3, 'always_cooperate': 1, 'tit_for_two_tats': 36}",scale_free,neighborhood,40,300
GeneratedScenario_0021,0.5422589443107912,0.07333333333333333,-0.5333333333333333,431.8736640947863,47.267526351199855,0.0,"{'tit_for_two_tats': 13, 'generous_tit_for_tat': 2, 'ucb1_q': 35}",scale_free,neighborhood,50,200
GeneratedScenario_0027,0.5050666666666668,1.0,0.4000000000000001,470.2222222222222,46.0,0.0,"{'pavlov': 2, 'suspicious_tit_for_tat': 8, 'tit_for_tat': 10}",fully_connected,pairwise,20,500
GeneratedScenario_0009,0.42466044634064803,0.8666666666666667,0.6333333333333333,66.25099649452646,18.81972789115639,0.0,"{'tit_for_tat': 2, 'wolf_phc': 10, 'suspicious_tit_for_tat': 38}",fully_connected,neighborhood,50,500
GeneratedScenario_0029,0.3411389483711863,0.8866666666666667,0.48666666666666664,7.285218883552797,5.269662544821055,0.0,"{'hysteretic_q': 21, 'suspicious_tit_for_tat': 29}",fully_connected,neighborhood,50,300
GeneratedScenario_0028,0.31611953576427526,0.25333333333333335,0.060000000000000005,190.89562347944693,31.29019544325705,0.0,"{'hysteretic_q': 7, 'random': 7, 'suspicious_tit_for_tat': 36}",small_world,neighborhood,50,300
GeneratedScenario_0020,0.27230110740406643,0.9166666666666666,0.18333333333333335,55.7089378775375,11.966358101277516,0.0,"{'suspicious_tit_for_tat': 9, 'q_learning': 31}",random,neighborhood,40,300
GeneratedScenario_0026,0.26030945520494886,0.8222222222222223,-0.17777777777777773,20.36788023932724,7.498982566133388,0.0,"{'hysteretic_q': 11, 'generous_tit_for_tat': 19}",random,neighborhood,30,500
GeneratedScenario_0017,0.24026256908489488,0.0,-0.20000000000000004,2.397666180418613,3.0288461538461697,0.0,"{'tit_for_two_tats': 8, 'always_defect': 32}",scale_free,neighborhood,40,300
