learning_rate,beta,epsilon,discount_factor,avg_final_coop_rate_overall,std_final_coop_rate_overall,avg_avg_final_score_target,std_avg_final_score_target
0.05,0.01,0.05,0.9,0.9733333333333333,0.02494438257849294,138.44873563218383,10.400324232473507
0.05,0.02,0.05,0.95,0.9399999999999998,0.05333333333333332,141.58528735632163,6.28862608372252
0.1,0.005,0.05,0.9,0.9333333333333333,0.036514837167011066,139.2413793103448,12.192717873274699
0.1,0.005,0.05,0.95,0.9066666666666668,0.04422166387140532,154.9439080459771,11.195593814595542
0.05,0.005,0.05,0.9,0.8933333333333333,0.04898979485566355,150.38390804597697,5.429458361581328
0.05,0.005,0.05,0.95,0.8933333333333333,0.06110100926607785,151.85701149425284,6.089025607147499
0.05,0.02,0.05,0.9,0.8933333333333333,0.038873012632301994,151.19908045977007,10.166492734846225
0.1,0.01,0.05,0.95,0.8933333333333333,0.04898979485566355,154.98482758620693,17.342401274503963
0.2,0.01,0.05,0.95,0.8733333333333334,0.04898979485566354,152.5131034482759,17.9870870080607
0.1,0.02,0.05,0.95,0.8666666666666668,0.08692269873603534,147.51908045977007,6.5095347245835296
0.1,0.01,0.05,0.9,0.8666666666666666,0.06992058987801009,155.312183908046,8.166772503702507
0.05,0.01,0.05,0.95,0.8666666666666666,0.1534781924429512,136.19816091954016,11.863463198825691
0.1,0.02,0.05,0.9,0.86,0.10413666234542207,144.33103448275855,15.125198495938971
0.2,0.01,0.05,0.9,0.8466666666666667,0.06182412330330468,159.30068965517245,6.594264538105889
0.2,0.02,0.05,0.9,0.8466666666666667,0.07180219742846007,153.85057471264372,13.3077572376117
0.2,0.005,0.05,0.9,0.8200000000000001,0.05416025603090639,162.30804597701166,10.424364683092739
0.2,0.02,0.05,0.95,0.8133333333333335,0.05416025603090642,168.6478160919542,6.5112788147497165
0.05,0.005,0.1,0.95,0.7866666666666667,0.12036980056845195,172.91172413793117,8.669672895483378
0.1,0.02,0.1,0.95,0.7866666666666666,0.09333333333333335,192.36597701149446,16.849453312954576
0.05,0.01,0.1,0.9,0.7666666666666666,0.12292725943057184,180.71770114942552,10.178207522106206
0.05,0.005,0.1,0.9,0.7466666666666667,0.0653197264742181,186.60275862068985,17.60311412654143
0.2,0.005,0.05,0.95,0.7466666666666666,0.13432961119739922,174.67126436781626,16.411718919783308
0.1,0.005,0.1,0.95,0.74,0.10198039027185571,186.24321839080486,9.501448098739866
0.05,0.02,0.1,0.9,0.7200000000000001,0.13266499161421602,187.94528735632213,13.818362878755435
0.05,0.02,0.1,0.95,0.72,0.13266499161421602,185.83310344827615,10.040948856084572
0.1,0.02,0.1,0.9,0.7066666666666667,0.038873012632301994,190.96643678160947,9.448886698938951
0.05,0.01,0.1,0.95,0.7066666666666667,0.09043106644167026,181.94620689655193,12.037133948111078
0.1,0.01,0.1,0.95,0.6866666666666666,0.14391355429948602,180.31310344827608,8.912915468478152
0.1,0.005,0.1,0.9,0.6733333333333332,0.09285592184789415,189.79816091954052,12.589502021817708
0.1,0.01,0.1,0.9,0.6666666666666666,0.09189365834726816,172.71402298850592,19.836440606987804
0.2,0.02,0.1,0.95,0.6666666666666666,0.05577733510227173,200.8013793103451,6.27518830958742
0.2,0.005,0.1,0.9,0.5733333333333334,0.10624918300339486,199.3797701149428,10.334519247152159
0.2,0.005,0.1,0.95,0.5666666666666667,0.07601169500660919,193.6887356321842,11.831548154045445
0.2,0.01,0.1,0.95,0.5266666666666666,0.09752492558885192,204.3954022988508,11.594760298342022
0.2,0.01,0.1,0.9,0.4666666666666666,0.15634719199411432,202.15310344827608,8.607830605569514
0.2,0.02,0.1,0.9,0.45999999999999996,0.13888444437333106,217.34298850574737,12.561639669029182
0.05,0.02,0.2,0.9,0.3666666666666667,0.09428090415820635,235.1990804597703,4.6259263743579035
0.05,0.01,0.2,0.95,0.35333333333333333,0.21457969252574774,231.89057471264385,12.314730716821337
0.1,0.02,0.2,0.9,0.29333333333333333,0.13232955494186138,249.625287356322,4.884839048531324
0.05,0.01,0.2,0.9,0.2733333333333333,0.1218377792166471,241.9443678160921,10.049396445850947
0.1,0.02,0.2,0.95,0.26666666666666666,0.06324555320336758,237.55954022988527,6.911408763241738
0.05,0.005,0.2,0.9,0.2533333333333333,0.08055363982396382,243.93793103448297,4.043927641895882
0.1,0.01,0.2,0.95,0.24,0.08273115763993903,246.52781609195418,9.45555639732164
0.05,0.02,0.2,0.95,0.22666666666666666,0.09752492558885195,242.64551724137945,7.980810437282066
0.1,0.005,0.2,0.95,0.19333333333333333,0.12364824660660939,248.76413793103467,5.345833666279565
0.2,0.02,0.2,0.95,0.18666666666666668,0.09568466729604883,249.81241379310364,4.29069694511334
0.2,0.01,0.2,0.9,0.18666666666666668,0.05811865258054231,259.4593103448277,6.876480279029134
0.2,0.005,0.2,0.95,0.18,0.08055363982396381,253.2983908045979,9.424502058678556
0.05,0.005,0.2,0.95,0.17333333333333334,0.09285592184789412,251.16505747126453,7.517499577273379
0.1,0.01,0.2,0.9,0.14666666666666667,0.08844332774281065,257.4712643678163,4.639570961617816
0.2,0.01,0.2,0.95,0.13333333333333336,0.0632455532033676,255.2427586206898,4.826824373385672
0.2,0.005,0.2,0.9,0.10666666666666666,0.03265986323710904,257.81011494252886,5.505460717720291
0.1,0.005,0.2,0.9,0.1,0.0699205898780101,254.2754022988507,8.36260370688198
0.2,0.02,0.2,0.9,0.1,0.04216370213557839,259.04000000000013,7.497586819239612
