learning_rate,increase_rate,decrease_rate,epsilon,discount_factor,avg_final_coop_rate_overall,std_final_coop_rate_overall,avg_avg_final_score_target,std_avg_final_score_target
0.1,0.05,0.05,0.1,0.9,0.4666666666666667,0.09428090415820632,220.58850574712673,4.443673760634335
0.05,0.05,0.05,0.1,0.9,0.4066666666666666,0.11623730516108463,220.0335632183911,8.264028014052432
0.05,0.05,0.05,0.2,0.9,0.39333333333333337,0.09285592184789412,232.00689655172437,2.177326319344825
0.05,0.05,0.02,0.2,0.9,0.38,0.09568466729604883,244.61885057471287,7.636573090498172
0.05,0.05,0.01,0.1,0.9,0.3466666666666667,0.016329931618554516,236.2280459770117,7.918070417299018
0.05,0.1,0.05,0.1,0.9,0.33333333333333337,0.1282358937444756,238.89471264367836,4.7116245379657915
0.1,0.05,0.02,0.1,0.9,0.32,0.10873004286866728,230.08551724137956,4.220350423349299
0.05,0.05,0.02,0.1,0.9,0.29333333333333333,0.0879393730551528,233.11080459770133,4.53988438085935
0.1,0.1,0.01,0.1,0.9,0.25999999999999995,0.13888444437333106,247.40413793103465,3.2679052874327863
0.1,0.15,0.05,0.1,0.9,0.22666666666666666,0.09285592184789412,244.35908045977027,4.353881074044491
0.05,0.05,0.01,0.2,0.9,0.22000000000000003,0.02666666666666666,250.2262068965519,9.02518835179121
0.05,0.1,0.01,0.1,0.9,0.21333333333333332,0.11661903789690602,249.13287356321854,6.816816832614917
0.05,0.15,0.05,0.1,0.9,0.21333333333333332,0.077746025264604,246.56735632183927,4.269018971062803
0.1,0.15,0.02,0.1,0.9,0.21333333333333332,0.09092121131323903,246.0878160919542,4.880465595743146
0.1,0.05,0.01,0.1,0.9,0.2,0.1264911064067352,240.99034482758643,8.211571919160058
0.1,0.1,0.05,0.1,0.9,0.18666666666666668,0.13759844960366863,239.49011494252895,6.2216858119574985
0.05,0.15,0.02,0.1,0.9,0.18,0.06531972647421808,249.13701149425302,3.7371297723159147
0.05,0.1,0.02,0.1,0.9,0.17333333333333334,0.04898979485566357,247.25793103448297,6.109084290898167
0.05,0.15,0.01,0.1,0.9,0.16666666666666669,0.06666666666666667,247.67770114942545,9.950854785020677
0.05,0.1,0.05,0.2,0.9,0.15999999999999998,0.09752492558885195,256.03954022988523,5.16315398983389
0.1,0.05,0.02,0.2,0.9,0.15999999999999998,0.09285592184789412,256.76919540229903,8.925005624998915
0.1,0.05,0.01,0.2,0.9,0.14,0.07717224601860151,259.28505747126457,5.165854129144946
0.05,0.1,0.02,0.2,0.9,0.13999999999999999,0.10413666234542206,261.71218390804614,5.561927160876756
0.1,0.1,0.02,0.1,0.9,0.13333333333333336,0.10110500592068733,248.8156321839082,5.379300402780858
0.1,0.15,0.02,0.2,0.9,0.13333333333333333,0.10110500592068734,267.41195402298865,4.090436861969612
0.05,0.15,0.01,0.2,0.9,0.13333333333333333,0.0760116950066092,266.5990804597703,3.1063525278397166
0.05,0.15,0.05,0.2,0.9,0.12666666666666665,0.048989794855663564,260.02482758620704,1.0839263537416017
0.1,0.05,0.05,0.2,0.9,0.12666666666666665,0.06110100926607787,249.9328735632186,7.563376499762291
0.1,0.15,0.01,0.1,0.9,0.11333333333333333,0.08589399151150083,248.44183908045994,4.763078016837156
0.05,0.15,0.02,0.2,0.9,0.10666666666666666,0.08537498983243798,265.3558620689656,3.599273983249974
0.05,0.1,0.01,0.2,0.9,0.1,0.0632455532033676,265.81241379310353,4.749680668769019
0.1,0.1,0.05,0.2,0.9,0.1,0.0760116950066092,260.6588505747128,4.158157615131837
0.1,0.15,0.01,0.2,0.9,0.09333333333333334,0.06798692684790379,265.7195402298852,3.888353359499198
0.1,0.15,0.05,0.2,0.9,0.09333333333333334,0.07717224601860151,262.9940229885059,3.9628174317803113
0.1,0.1,0.01,0.2,0.9,0.08666666666666667,0.016329931618554522,267.1135632183909,2.8235809779265524
0.1,0.1,0.02,0.2,0.9,0.08,0.04521553322083512,263.78528735632204,2.781312266853457
